Customer_ID,Age,Gender
C59444,51,Female
C55056,45,Female
C53296,42,Female
C55903,47,Male
C40049,34,Female
C35912,57,Female
C17298,36,Female
C48046,43,Female
C26853,22,Male
C23003,50,Female
C54029,29,Female
C31772,36,Female
C54364,63,Male
C26368,56,Male
C63253,35,Male
C30650,62,Female
C18934,61,Male
C54254,58,Female
C42839,57,Male
C34296,31,Female
C30464,45,Female
C21026,23,Male
C22191,35,Female
C34249,37,Male
C19426,54,Female
C15871,53,Male
C25068,22,Male
C58518,31,Male
C55503,41,Female
C28660,40,Male
C30543,38,Female
C31029,65,Male
C19156,35,Male
C17776,54,Male
C38478,68,Female
C63319,44,Male
C46135,46,Female
C25728,58,Male
C55265,38,Female
C15007,46,Male
C57445,40,Female
C57202,35,Female
C54268,50,Male
C22926,49,Female
C37948,22,Female
C48574,44,Female
C59087,48,Male
C60467,45,Female
C45620,31,Male
C47355,43,Male
C63802,40,Male
C22227,29,Male
C32709,45,Female
C46190,64,Female
C31238,68,Male
C45079,34,Male
C34363,47,Male
C17435,45,Female
C38223,37,Male
C56098,45,Female
C35925,27,Male
C36099,50,Female
C34536,65,Female
C35192,58,Female
C39782,22,Male
C35204,60,Female
C33635,66,Male
C38384,41,Female
C47672,39,Male
C16715,58,Female
C51497,42,Male
C21164,36,Female
C26130,61,Female
C65279,47,Female
C24511,47,Female
C15080,42,Female
C16333,37,Male
C16585,23,Female
C31169,54,Female
C25799,38,Female
C34679,32,Female
C15584,47,Male
C33045,66,Female
C44111,34,Female
C36690,31,Female
C39956,57,Male
C56819,43,Female
C27235,24,Male
C41891,34,Male
C54640,53,Male
C22651,57,Female
C43678,52,Female
C62626,47,Female
C29238,59,Male
C42074,41,Male
C35403,41,Female
C41243,33,Male
C19174,44,Female
C18572,65,Female
C57353,42,Female
C54862,48,Male
C49549,38,Female
C25141,27,Male
C65218,44,Female
C32533,59,Male
C42619,63,Male
C48136,61,Female
C29009,41,Male
C22723,59,Male
C57825,44,Female
C36385,23,Male
C52195,50,Female
C64906,58,Female
C46779,38,Female
C46532,35,Female
C44564,43,Female
C57024,66,Female
C45200,30,Female
C31044,40,Female
C39127,53,Male
C24953,42,Male
C58713,40,Male
C43045,28,Female
C15059,69,Male
C15846,64,Female
C16177,65,Male
C53834,64,Male
C16253,29,Male
C26817,23,Female
C16981,46,Male
C59582,32,Female
C52841,31,Male
C59298,48,Female
C23218,52,Female
C15460,40,Female
C23705,36,Male
C64778,26,Female
C47470,45,Male
C38500,31,Female
C24910,64,Male
C64123,60,Female
C41303,25,Male
C56681,43,Male
C48018,38,Female
C16811,61,Female
C29870,32,Male
C20219,58,Male
C21456,61,Female
C24669,27,Female
C18067,43,Male
C25238,57,Female
C60275,22,Female
C55692,58,Female
C39693,52,Female
C22564,52,Male
C26122,33,Female
C37122,25,Female
C48028,41,Male
C16892,29,Female
C47107,58,Female
C32203,34,Female
C36251,27,Male
C33030,33,Female
C37372,26,Female
C40554,35,Male
C30874,22,Male
C20189,44,Female
C58346,43,Male
C27775,54,Female
C49742,57,Male
C44664,33,Male
C23311,26,Female
C20034,24,Female
C49167,48,Female
C24231,42,Female
C28857,32,Female
C29918,21,Male
C55444,43,Female
C23329,41,Male
C39977,22,Female
C62091,22,Male
C16317,37,Male
C24837,55,Male
C29073,39,Male
C25172,51,Female
C44446,64,Male
C60675,51,Female
C33489,47,Male
C61366,31,Male
C53076,35,Male
C24644,31,Male
C41515,28,Male
C59983,45,Male
C29531,56,Male
C30451,40,Female
C59505,58,Female
C59134,22,Female
C15686,64,Male
C26217,50,Female
C26415,51,Female
C32023,54,Male
C60628,24,Female
C22282,57,Male
C21851,52,Male
C32330,44,Male
C19665,33,Male
C36883,25,Male
C24286,27,Male
C54677,24,Male
C58404,35,Female
C17994,21,Male
C29031,43,Female
C56711,42,Female
C41771,21,Female
C54817,26,Female
C35056,46,Female
C26055,40,Male
C19452,63,Male
C19289,38,Male
C35397,60,Female
C44989,69,Female
C23770,66,Male
C22289,64,Male
C43029,53,Male
C23864,62,Male
C30217,27,Female
C55161,23,Male
C42007,22,Female
C47218,27,Female
C52934,34,Female
C35751,57,Male
C40018,50,Female
C36946,29,Female
C65206,22,Female
C54189,66,Female
C47466,39,Male
C32498,38,Female
C26690,48,Female
C34974,52,Male
C38254,41,Male
C60361,69,Male
C31773,37,Female
C23560,55,Female
C19596,50,Male
C51480,32,Female
C35338,37,Female
C18313,68,Female
C21941,32,Male
C47693,32,Male
C33602,27,Male
C16749,59,Female
C38688,21,Male
C41045,32,Male
C55712,54,Female
C41660,63,Male
C41465,39,Female
C36602,35,Male
C52826,29,Male
C25747,27,Female
C39382,46,Female
C47996,69,Female
C27077,27,Female
C17606,62,Female
C20183,31,Female
C60661,45,Male
C24308,35,Female
C18502,58,Female
C22975,26,Female
C25016,57,Female
C56096,57,Female
C53366,54,Female
C63897,28,Male
C53948,64,Male
C30141,68,Female
C57260,22,Female
C52337,54,Male
C44059,65,Female
C20108,31,Male
C61505,56,Female
C46462,37,Male
C40109,50,Female
C64247,29,Female
C64186,38,Male
C25601,59,Male
C48506,62,Female
C53727,30,Male
C22030,64,Female
C47222,69,Male
C58979,22,Female
C41985,23,Male
C17063,67,Female
C53810,58,Female
C58363,26,Male
C43105,32,Male
C62423,22,Female
C43366,53,Male
C39104,31,Female
C17092,47,Male
C63679,23,Male
C22034,60,Female
C60034,68,Female
C62353,48,Male
C22633,46,Female
C48852,41,Female
C35624,37,Male
C45657,58,Female
C53069,49,Male
C26746,61,Male
C38111,40,Female
C41340,30,Female
C24581,49,Male
C45652,59,Female
C43333,43,Female
C51613,47,Female
C16996,21,Female
C33431,42,Female
C33775,41,Female
C34621,56,Male
C65209,58,Male
C53023,64,Female
C54134,21,Male
C43975,66,Male
C17589,47,Female
C16023,45,Male
C42815,53,Female
C31051,39,Male
C60938,66,Female
C44838,58,Female
C21377,43,Male
C15020,46,Female
C41075,64,Male
C38784,28,Male
C31061,64,Female
C34035,27,Female
C24947,27,Female
C42476,37,Female
C38203,44,Male
C28972,52,Male
C33309,69,Female
C29934,24,Male
C24968,53,Male
C37857,46,Male
C35558,24,Male
C48044,42,Male
C52209,40,Male
C15644,46,Male
C61742,60,Female
C16985,41,Male
C28696,37,Female
C54607,56,Male
C22477,37,Male
C47366,34,Female
C20608,43,Female
C42823,28,Male
C27863,24,Female
C38730,45,Female
C65189,35,Female
C60279,63,Female
C62240,47,Female
C61392,43,Female
C23356,45,Female
C33061,61,Male
C16145,54,Female
C33916,25,Female
C42654,43,Male
C19815,44,Male
C61221,35,Male
C35066,36,Female
C47050,26,Female
C39473,47,Female
C21164,56,Female
C17301,31,Female
C40298,30,Male
C64558,24,Female
C26223,43,Male
C31108,34,Male
C36577,40,Male
C61638,62,Male
C50966,21,Female
C58139,58,Male
C42778,33,Female
C52615,50,Male
C20087,29,Male
C37569,48,Male
C46122,45,Male
C42696,46,Male
C33240,53,Male
C25310,42,Male
C43297,30,Male
C60796,42,Male
C38288,38,Female
C56123,32,Female
C51924,65,Female
C21102,29,Male
C43834,47,Female
C36197,67,Male
C49402,55,Female
C38681,33,Female
C18497,22,Female
C46025,46,Male
C45392,40,Male
C46789,39,Female
C35844,68,Male
C32539,38,Male
C65076,50,Male
C31689,31,Male
C43251,63,Female
C16808,38,Female
C18432,25,Male
C15560,21,Male
C18815,52,Male
C19853,36,Female
C39969,62,Female
C33790,60,Female
C42744,39,Male
C34919,67,Female
C36388,39,Male
C33224,58,Male
C54112,50,Female
C56524,29,Female
C55123,66,Female
C23754,67,Female
C61226,25,Female
C17108,66,Male
C25531,47,Male
C48054,64,Male
C59148,40,Female
C58069,42,Male
C21141,68,Female
C21604,23,Female
C20867,47,Female
C22043,42,Male
C39694,63,Male
C29413,47,Female
C26670,25,Male
C60019,31,Male
C45346,33,Male
C37362,23,Male
C33566,47,Female
C53099,65,Female
C16074,59,Male
C21230,30,Female
C26455,33,Female
C37832,40,Male
C52654,44,Male
C17033,56,Female
C58420,62,Male
C41689,55,Male
C22607,62,Male
C30524,42,Male
C15360,37,Male
C16996,39,Male
C51415,44,Male
C18873,31,Female
C54062,37,Male
C23354,24,Female
C57805,51,Male
C33423,58,Male
C26785,24,Male
C36901,21,Male
C32126,65,Male
C33987,28,Male
C54087,55,Male
C30183,65,Male
C41858,29,Male
C41851,36,Female
C38777,52,Female
C48622,59,Female
C40957,65,Male
C60512,29,Female
C21681,53,Male
C62061,47,Female
C39046,26,Male
C39365,25,Male
C40185,38,Male
C32288,54,Male
C32370,40,Female
C17562,44,Female
C37742,46,Female
C16892,27,Female
C50033,42,Male
C52265,42,Female
C28017,28,Male
C17171,65,Female
C32557,51,Female
C50063,66,Male
C53526,44,Male
C42378,52,Female
C35076,69,Female
C54540,63,Male
C36642,41,Male
C17541,47,Male
C37688,65,Female
C19702,37,Female
C21544,61,Male
C34479,67,Male
C45171,28,Male
C42628,58,Male
C53054,40,Female
C46720,40,Female
C18184,31,Male
C45245,58,Female
C27867,50,Male
C65095,50,Male
C16030,33,Female
C29108,43,Male
C28111,26,Male
C60232,43,Female
C40367,34,Male
C19955,38,Female
C21769,24,Male
C36768,30,Female
C15387,29,Female
C33206,44,Female
C27354,47,Female
C49038,61,Male
C15286,27,Female
C61451,53,Female
C22440,40,Male
C28122,55,Male
C19600,30,Female
C32810,42,Female
C55861,28,Female
C17633,37,Male
C63166,61,Female
C15662,37,Male
C50206,24,Female
C32433,40,Female
C25456,58,Female
C39728,68,Male
C44785,53,Female
C62381,64,Male
C59273,58,Male
C47921,26,Male
